,Id,Abstract,Category
41,41,[0. 0. 0. ... 0. 0. 0.],gr-qc
42,42,[0. 0. 0. ... 0. 0. 0.],hep-ph
43,43,[0. 0. 0. ... 0. 0. 0.],math.CO
44,44,[1. 0. 0. ... 0. 0. 0.],gr-qc
45,45,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
46,46,[0. 0. 1. ... 0. 0. 0.],astro-ph.SR
47,47,[0. 0. 0. ... 0. 0. 0.],quant-ph
48,48,[0. 0. 0. ... 0. 0. 0.],stat.ML
49,49,[0. 0. 0. ... 0. 0. 0.],math.CO
50,50,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
51,51,[0. 0. 0. ... 0. 0. 0.],math.AP
52,52,[0. 0. 0. ... 0. 0. 0.],math.CO
53,53,[0. 0. 0. ... 0. 0. 0.],quant-ph
54,54,[0. 0. 0. ... 0. 0. 0.],gr-qc
55,55,[0. 0. 0. ... 0. 0. 0.],quant-ph
56,56,[0. 0. 0. ... 0. 0. 0.],gr-qc
57,57,[0. 0. 0. ... 0. 0. 0.],quant-ph
58,58,[0. 0. 0. ... 0. 0. 0.],astro-ph
59,59,[0. 0. 1. ... 0. 0. 0.],astro-ph.SR
60,60,[0. 0. 0. ... 0. 0. 0.],astro-ph
61,61,[0. 0. 0. ... 0. 0. 0.],hep-ph
62,62,[0. 0. 0. ... 0. 0. 0.],math.AP
63,63,[0. 0. 0. ... 0. 0. 0.],astro-ph
64,64,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
65,65,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
66,66,[0. 0. 0. ... 0. 0. 0.],stat.ML
67,67,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
68,68,[0. 0. 0. ... 0. 0. 0.],stat.ML
69,69,[0. 0. 0. ... 0. 0. 0.],gr-qc
70,70,[0. 0. 0. ... 0. 0. 0.],math.CO
71,71,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
72,72,[0. 0. 0. ... 0. 0. 0.],gr-qc
73,73,[1. 0. 0. ... 0. 0. 0.],astro-ph
74,74,[0. 0. 1. ... 0. 0. 0.],astro-ph.SR
75,75,[0. 0. 0. ... 0. 0. 0.],math.CO
76,76,[0. 0. 0. ... 0. 0. 0.],gr-qc
77,77,[0. 0. 0. ... 0. 0. 0.],hep-ph
78,78,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
79,79,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
80,80,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
81,81,[0. 0. 0. ... 0. 0. 0.],gr-qc
82,82,[1. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
83,83,[0. 0. 0. ... 0. 0. 0.],gr-qc
84,84,[0. 0. 0. ... 0. 0. 0.],hep-th
85,85,[0. 0. 0. ... 0. 0. 0.],hep-th
86,86,[0. 0. 0. ... 0. 0. 0.],stat.ML
87,87,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
88,88,[0. 0. 0. ... 0. 0. 0.],hep-ph
89,89,[0. 0. 0. ... 0. 0. 0.],astro-ph
90,90,[0. 0. 0. ... 0. 0. 0.],math.CO
91,91,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
92,92,[0. 0. 0. ... 0. 0. 0.],physics.optics
93,93,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
94,94,[0. 0. 0. ... 0. 0. 0.],astro-ph
95,95,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
96,96,[0. 0. 0. ... 0. 0. 0.],hep-th
97,97,[1. 0. 0. ... 0. 0. 0.],gr-qc
98,98,[0. 0. 0. ... 0. 0. 0.],cs.LG
99,99,[0. 0. 0. ... 0. 0. 0.],hep-ph
100,100,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
101,101,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
102,102,[0. 0. 0. ... 0. 0. 0.],math.CO
103,103,[0. 0. 0. ... 0. 0. 0.],cs.LG
104,104,[0. 0. 0. ... 0. 0. 0.],math.CO
105,105,[0. 0. 0. ... 0. 0. 0.],stat.ML
106,106,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
107,107,[1. 0. 0. ... 0. 0. 0.],quant-ph
108,108,[0. 0. 0. ... 0. 0. 0.],quant-ph
109,109,[0. 0. 0. ... 0. 0. 0.],hep-ph
110,110,[0. 0. 0. ... 0. 0. 0.],hep-th
111,111,[1. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
112,112,[0. 0. 0. ... 0. 0. 0.],hep-ph
113,113,[0. 0. 0. ... 0. 0. 0.],math.AP
114,114,[0. 0. 0. ... 0. 0. 0.],cs.LG
115,115,[0. 0. 0. ... 0. 0. 0.],math.AP
116,116,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
117,117,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
118,118,[0. 0. 0. ... 0. 0. 0.],quant-ph
119,119,[0. 0. 0. ... 0. 0. 0.],math.AP
120,120,[0. 0. 0. ... 0. 0. 0.],math.CO
121,121,[1. 0. 0. ... 0. 0. 0.],cs.LG
122,122,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
123,123,[0. 0. 0. ... 0. 0. 0.],hep-ph
124,124,[0. 0. 0. ... 0. 0. 0.],hep-ph
125,125,[0. 0. 0. ... 0. 0. 0.],stat.ML
126,126,[0. 0. 0. ... 0. 0. 0.],stat.ML
127,127,[0. 0. 0. ... 0. 0. 0.],math.CO
128,128,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
129,129,[0. 0. 0. ... 0. 0. 0.],gr-qc
130,130,[0. 0. 0. ... 0. 0. 0.],stat.ML
131,131,[0. 0. 0. ... 0. 0. 0.],math.CO
132,132,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
133,133,[0. 0. 0. ... 0. 0. 0.],cs.LG
134,134,[1. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
135,135,[0. 0. 0. ... 0. 0. 0.],cs.LG
136,136,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
137,137,[0. 0. 0. ... 0. 0. 0.],quant-ph
138,138,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
139,139,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
140,140,[0. 0. 0. ... 0. 0. 0.],gr-qc
141,141,[0. 0. 0. ... 0. 0. 0.],math.AP
142,142,[0. 0. 0. ... 0. 0. 0.],stat.ML
143,143,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
144,144,[0. 0. 0. ... 0. 0. 0.],math.AP
145,145,[1. 0. 0. ... 0. 0. 0.],astro-ph
146,146,[0. 0. 0. ... 0. 0. 0.],hep-ph
147,147,[0. 0. 0. ... 0. 0. 0.],hep-th
148,148,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
149,149,[0. 0. 0. ... 0. 0. 0.],astro-ph
150,150,[0. 0. 0. ... 0. 0. 0.],stat.ML
151,151,[0. 0. 0. ... 0. 0. 0.],quant-ph
152,152,[0. 0. 0. ... 0. 0. 0.],physics.optics
153,153,[0. 0. 0. ... 0. 0. 0.],gr-qc
154,154,[0. 0. 0. ... 0. 0. 0.],quant-ph
155,155,[0. 0. 0. ... 0. 0. 0.],math.AP
156,156,[0. 0. 0. ... 0. 0. 0.],math.CO
157,157,[1. 0. 0. ... 0. 0. 0.],hep-ph
158,158,[1. 0. 0. ... 0. 0. 0.],gr-qc
159,159,[0. 0. 0. ... 0. 0. 0.],cs.LG
160,160,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
161,161,[0. 0. 0. ... 0. 0. 0.],astro-ph
162,162,[0. 0. 0. ... 0. 0. 0.],hep-ph
163,163,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
164,164,[1. 0. 1. ... 0. 0. 0.],astro-ph
165,165,[0. 0. 0. ... 0. 0. 0.],quant-ph
166,166,[0. 1. 0. ... 0. 0. 0.],gr-qc
167,167,[1. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
168,168,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
169,169,[0. 0. 0. ... 0. 0. 0.],quant-ph
170,170,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
171,171,[1. 0. 1. ... 0. 0. 0.],astro-ph.SR
172,172,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
173,173,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
174,174,[1. 0. 0. ... 0. 0. 0.],hep-ph
175,175,[0. 0. 0. ... 0. 0. 0.],math.AP
176,176,[1. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
177,177,[0. 0. 0. ... 0. 0. 0.],astro-ph
178,178,[0. 0. 0. ... 0. 0. 0.],math.AP
179,179,[0. 0. 0. ... 0. 0. 0.],hep-ph
180,180,[1. 0. 0. ... 0. 0. 0.],hep-th
181,181,[0. 0. 0. ... 0. 0. 0.],hep-th
182,182,[1. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
183,183,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
184,184,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
185,185,[0. 0. 0. ... 0. 0. 0.],physics.optics
186,186,[0. 0. 0. ... 0. 0. 0.],math.CO
187,187,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
188,188,[0. 0. 0. ... 0. 0. 0.],hep-ph
189,189,[1. 0. 0. ... 0. 0. 0.],astro-ph.GA
190,190,[0. 0. 0. ... 0. 0. 0.],cs.LG
191,191,[0. 0. 0. ... 0. 0. 0.],gr-qc
192,192,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
193,193,[1. 0. 0. ... 0. 0. 0.],hep-ph
194,194,[0. 0. 0. ... 0. 0. 0.],hep-ph
195,195,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
196,196,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
197,197,[0. 0. 0. ... 0. 0. 0.],quant-ph
198,198,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
199,199,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
200,200,[0. 0. 0. ... 0. 0. 0.],stat.ML
201,201,[0. 0. 0. ... 0. 0. 0.],hep-ph
202,202,[0. 0. 0. ... 0. 0. 0.],math.AP
203,203,[1. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
204,204,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
205,205,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
206,206,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
207,207,[0. 0. 0. ... 0. 0. 0.],physics.optics
208,208,[0. 0. 0. ... 0. 0. 0.],gr-qc
209,209,[0. 0. 0. ... 0. 0. 0.],hep-th
210,210,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
211,211,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
212,212,[0. 0. 0. ... 0. 0. 0.],physics.optics
213,213,[0. 0. 0. ... 0. 0. 0.],gr-qc
214,214,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
215,215,[1. 0. 0. ... 0. 0. 0.],astro-ph.SR
216,216,[1. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
217,217,[0. 0. 0. ... 0. 0. 0.],stat.ML
218,218,[1. 0. 0. ... 0. 0. 0.],hep-th
219,219,[0. 0. 0. ... 0. 0. 0.],stat.ML
220,220,[0. 0. 0. ... 0. 0. 0.],stat.ML
221,221,[1. 0. 0. ... 0. 0. 0.],astro-ph.GA
222,222,[0. 0. 1. ... 0. 0. 0.],astro-ph.SR
223,223,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
224,224,[0. 0. 0. ... 0. 0. 0.],stat.ML
225,225,[0. 0. 0. ... 0. 0. 0.],cs.LG
226,226,[0. 0. 1. ... 0. 0. 0.],astro-ph
227,227,[0. 0. 0. ... 0. 0. 0.],math.AP
228,228,[0. 0. 0. ... 0. 0. 0.],gr-qc
229,229,[0. 0. 0. ... 0. 0. 0.],hep-ph
230,230,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
231,231,[0. 0. 0. ... 0. 0. 0.],astro-ph
232,232,[0. 0. 0. ... 0. 0. 0.],stat.ML
233,233,[0. 0. 0. ... 0. 0. 0.],hep-th
234,234,[1. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
235,235,[0. 0. 0. ... 0. 0. 0.],math.CO
236,236,[0. 0. 0. ... 0. 0. 0.],stat.ML
237,237,[0. 0. 0. ... 0. 0. 0.],gr-qc
238,238,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
239,239,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
240,240,[1. 0. 0. ... 0. 0. 0.],hep-ph
241,241,[1. 0. 0. ... 0. 0. 0.],astro-ph
242,242,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
243,243,[0. 0. 0. ... 0. 0. 0.],cs.LG
244,244,[0. 0. 0. ... 0. 0. 0.],hep-ph
245,245,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
246,246,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
247,247,[0. 0. 0. ... 0. 0. 0.],math.AP
248,248,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
249,249,[0. 0. 0. ... 0. 0. 0.],astro-ph
250,250,[0. 0. 0. ... 0. 0. 0.],astro-ph
251,251,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
252,252,[0. 0. 0. ... 0. 0. 0.],math.CO
253,253,[0. 0. 1. ... 0. 0. 0.],astro-ph.SR
254,254,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
255,255,[0. 0. 0. ... 0. 0. 0.],hep-ph
256,256,[0. 0. 0. ... 0. 0. 0.],hep-ph
257,257,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
258,258,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
259,259,[1. 0. 0. ... 0. 0. 0.],astro-ph
260,260,[1. 0. 0. ... 0. 0. 0.],astro-ph
261,261,[0. 0. 0. ... 0. 0. 0.],gr-qc
262,262,[0. 0. 0. ... 0. 0. 0.],hep-ph
263,263,[0. 0. 0. ... 0. 0. 0.],cs.LG
264,264,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
265,265,[0. 0. 0. ... 0. 0. 0.],gr-qc
266,266,[0. 0. 0. ... 0. 0. 0.],math.CO
267,267,[0. 0. 0. ... 0. 0. 0.],astro-ph
268,268,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
269,269,[0. 0. 0. ... 0. 0. 0.],math.CO
270,270,[0. 0. 0. ... 0. 0. 0.],hep-ph
271,271,[0. 0. 0. ... 0. 0. 0.],hep-ph
272,272,[0. 0. 0. ... 0. 0. 0.],math.CO
273,273,[0. 0. 0. ... 0. 0. 0.],hep-th
274,274,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
275,275,[0. 0. 0. ... 0. 0. 0.],math.AP
276,276,[1. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
277,277,[0. 0. 0. ... 0. 0. 0.],quant-ph
278,278,[0. 0. 0. ... 0. 0. 0.],gr-qc
279,279,[0. 0. 0. ... 0. 0. 0.],cs.LG
280,280,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
281,281,[1. 0. 0. ... 0. 0. 0.],hep-ph
282,282,[0. 0. 0. ... 0. 0. 0.],gr-qc
283,283,[0. 0. 0. ... 0. 0. 0.],physics.optics
284,284,[0. 0. 0. ... 0. 0. 0.],hep-th
285,285,[0. 0. 0. ... 0. 0. 0.],gr-qc
286,286,[0. 0. 0. ... 0. 0. 0.],math.AP
287,287,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
288,288,[0. 0. 0. ... 0. 0. 0.],stat.ML
289,289,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
290,290,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
291,291,[0. 0. 0. ... 0. 0. 0.],math.AP
292,292,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
293,293,[1. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
294,294,[1. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
295,295,[0. 0. 0. ... 0. 0. 0.],hep-th
296,296,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
297,297,[0. 0. 0. ... 0. 0. 0.],hep-th
298,298,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
299,299,[0. 0. 0. ... 0. 0. 0.],physics.optics
300,300,[0. 0. 0. ... 0. 0. 0.],cs.LG
301,301,[0. 0. 0. ... 0. 0. 0.],gr-qc
302,302,[0. 0. 0. ... 0. 0. 0.],quant-ph
303,303,[0. 0. 0. ... 0. 0. 0.],astro-ph
304,304,[0. 0. 0. ... 0. 0. 0.],physics.optics
305,305,[0. 0. 0. ... 0. 0. 0.],math.CO
306,306,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
307,307,[0. 0. 0. ... 0. 0. 0.],math.AP
308,308,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
309,309,[0. 0. 0. ... 0. 0. 0.],hep-th
310,310,[0. 0. 0. ... 0. 0. 0.],hep-ph
311,311,[0. 0. 0. ... 0. 0. 0.],physics.optics
312,312,[0. 0. 1. ... 0. 0. 0.],astro-ph
313,313,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
314,314,[0. 0. 0. ... 0. 0. 0.],quant-ph
315,315,[0. 0. 0. ... 0. 0. 0.],math.AP
316,316,[0. 0. 0. ... 0. 0. 0.],stat.ML
317,317,[1. 0. 0. ... 0. 0. 0.],astro-ph.CO
318,318,[0. 0. 0. ... 0. 0. 0.],cs.LG
319,319,[0. 0. 0. ... 0. 0. 0.],math.CO
320,320,[0. 0. 0. ... 0. 0. 0.],quant-ph
321,321,[1. 0. 0. ... 0. 0. 0.],astro-ph.CO
322,322,[0. 0. 0. ... 0. 0. 0.],quant-ph
323,323,[1. 0. 1. ... 0. 0. 0.],astro-ph.SR
324,324,[0. 0. 0. ... 0. 0. 0.],physics.optics
325,325,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
326,326,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
327,327,[0. 0. 0. ... 0. 0. 0.],gr-qc
328,328,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
329,329,[0. 0. 0. ... 0. 0. 0.],cs.LG
330,330,[0. 0. 0. ... 0. 0. 0.],math.AP
331,331,[0. 0. 0. ... 0. 0. 0.],astro-ph
332,332,[0. 0. 0. ... 0. 0. 0.],hep-ph
333,333,[0. 0. 0. ... 0. 0. 0.],hep-ph
334,334,[0. 0. 0. ... 0. 0. 0.],math.CO
335,335,[0. 0. 0. ... 0. 0. 0.],physics.optics
336,336,[0. 0. 0. ... 0. 0. 0.],hep-th
337,337,[1. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
338,338,[0. 0. 0. ... 0. 0. 0.],quant-ph
339,339,[0. 0. 0. ... 0. 0. 0.],gr-qc
340,340,[0. 0. 1. ... 0. 0. 0.],astro-ph.SR
341,341,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
342,342,[1. 0. 0. ... 0. 0. 0.],hep-ph
343,343,[0. 0. 0. ... 0. 0. 0.],hep-th
344,344,[0. 0. 0. ... 0. 0. 0.],cs.LG
345,345,[0. 0. 0. ... 0. 0. 0.],math.AP
346,346,[1. 0. 0. ... 0. 0. 0.],astro-ph
347,347,[0. 0. 0. ... 0. 0. 0.],hep-th
348,348,[0. 0. 0. ... 0. 0. 0.],physics.optics
349,349,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
350,350,[0. 0. 0. ... 0. 0. 0.],quant-ph
351,351,[0. 0. 0. ... 0. 0. 0.],math.CO
352,352,[0. 0. 0. ... 0. 0. 0.],hep-ph
353,353,[0. 0. 0. ... 0. 0. 0.],astro-ph
354,354,[0. 0. 0. ... 0. 0. 0.],physics.optics
355,355,[0. 0. 0. ... 0. 0. 0.],cs.LG
356,356,[0. 0. 0. ... 0. 0. 0.],cs.LG
357,357,[0. 0. 0. ... 0. 0. 0.],cs.LG
358,358,[0. 0. 0. ... 0. 0. 0.],hep-ph
359,359,[0. 0. 0. ... 0. 0. 0.],hep-ph
360,360,[0. 0. 0. ... 0. 0. 0.],physics.optics
361,361,[0. 0. 0. ... 0. 0. 0.],physics.optics
362,362,[0. 0. 0. ... 0. 0. 0.],stat.ML
363,363,[0. 0. 0. ... 0. 0. 0.],math.AP
364,364,[0. 0. 0. ... 0. 0. 0.],physics.optics
365,365,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
366,366,[0. 0. 0. ... 0. 0. 0.],stat.ML
367,367,[0. 0. 0. ... 0. 0. 0.],math.CO
368,368,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
369,369,[0. 0. 0. ... 0. 0. 0.],hep-th
370,370,[0. 0. 0. ... 0. 0. 0.],quant-ph
371,371,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
372,372,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
373,373,[0. 0. 0. ... 0. 0. 0.],math.AP
374,374,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
375,375,[1. 0. 0. ... 0. 0. 0.],math.AP
376,376,[0. 0. 0. ... 0. 0. 0.],hep-th
377,377,[0. 0. 0. ... 0. 0. 0.],math.CO
378,378,[1. 0. 0. ... 0. 0. 0.],gr-qc
379,379,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
380,380,[0. 0. 0. ... 0. 0. 0.],physics.optics
381,381,[0. 0. 0. ... 0. 0. 0.],cs.LG
382,382,[0. 0. 0. ... 0. 0. 0.],physics.optics
383,383,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
384,384,[0. 0. 0. ... 0. 0. 0.],stat.ML
385,385,[0. 0. 0. ... 0. 0. 0.],quant-ph
386,386,[0. 0. 0. ... 0. 0. 0.],physics.optics
387,387,[0. 0. 0. ... 0. 0. 0.],quant-ph
388,388,[0. 0. 0. ... 0. 0. 0.],quant-ph
389,389,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
390,390,[0. 0. 0. ... 0. 0. 0.],math.CO
391,391,[0. 0. 0. ... 0. 0. 0.],math.CO
392,392,[0. 0. 0. ... 0. 0. 0.],astro-ph
393,393,[0. 0. 0. ... 0. 0. 0.],stat.ML
394,394,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
395,395,[0. 0. 0. ... 0. 0. 0.],math.AP
396,396,[0. 0. 0. ... 0. 0. 0.],astro-ph
397,397,[0. 0. 0. ... 0. 0. 0.],hep-th
398,398,[0. 0. 0. ... 0. 0. 0.],math.CO
399,399,[0. 0. 0. ... 0. 0. 0.],astro-ph
400,400,[0. 0. 0. ... 0. 0. 0.],hep-ph
401,401,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
402,402,[1. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
403,403,[1. 0. 0. ... 0. 0. 0.],gr-qc
404,404,[0. 0. 0. ... 0. 0. 0.],hep-th
405,405,[1. 0. 1. ... 0. 0. 0.],astro-ph.SR
406,406,[0. 0. 0. ... 0. 0. 0.],hep-th
407,407,[1. 0. 0. ... 0. 0. 0.],hep-th
408,408,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
409,409,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
410,410,[0. 0. 0. ... 0. 0. 0.],stat.ML
411,411,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
412,412,[0. 0. 1. ... 0. 0. 0.],astro-ph.SR
413,413,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
414,414,[0. 0. 0. ... 0. 0. 0.],hep-ph
415,415,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
416,416,[0. 0. 0. ... 0. 0. 0.],cond-mat.mes-hall
417,417,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
418,418,[0. 0. 0. ... 0. 0. 0.],stat.ML
419,419,[0. 0. 0. ... 0. 0. 0.],hep-ph
420,420,[0. 0. 0. ... 0. 0. 0.],math.CO
421,421,[0. 0. 0. ... 0. 0. 0.],stat.ML
422,422,[0. 0. 0. ... 0. 0. 0.],gr-qc
423,423,[0. 0. 0. ... 0. 0. 0.],astro-ph.CO
424,424,[0. 0. 0. ... 0. 0. 0.],astro-ph.SR
425,425,[0. 0. 0. ... 0. 0. 0.],gr-qc
426,426,[0. 0. 0. ... 0. 0. 0.],gr-qc
427,427,[1. 0. 0. ... 0. 0. 0.],gr-qc
428,428,[0. 0. 0. ... 0. 0. 0.],hep-th
429,429,[0. 0. 0. ... 0. 0. 0.],astro-ph.GA
430,430,[0. 0. 0. ... 0. 0. 0.],cond-mat.mtrl-sci
431,431,[0. 0. 0. ... 0. 0. 0.],stat.ML
