,Id,Abstract,Category
32,32,designing high precision efficient schemes crucial importance quantum parameter estimation practice estimation scheme based continuous quantum measurement one possible type looks also natural choice case continuous dynamical process work specify study stat art superconducting circuit quantum electrodynamics qed system high quality continuous measurement extensively exploited past decade within framework bayesian estimation particularly using quantum bayesian rule circuit qed numerically simulate likelihood function estimator rabi frequency qubit oscillation find proper design interaction strength measurement estimate precision scale measurement time beyond standard quantum limit usually assumed type continuous measurement since special quantum resource involved understand remarkable result quantum correlation time output signals simulate effect quantum efficiency measurement precision scaling behavior ,quant-ph
33,33,paper examines outflows associated interaction stellar magnetosphere accretion disk particular investigate magnetospheric ejections mes due expansion reconnection field lines connecting star disk aim study dynamical properties outflows evaluate impact angular momentum evolution young protostars models based axisymmetric time dependent magneto hydrodynamic simulations interaction dipolar magnetosphere rotating protostar viscous resistive disk using alpha prescriptions transport coefficients simulations designed order model accretion process formation accretion funnels periodic inflation reconnection magnetosphere associated mes stellar wind similarly magnetic slingshot mes powered rotation disk star efficiently remove angular momentum depending accretion rate mes extract relevant fraction accretion torque together weak non negligible stellar wind torque balance spin due accretion disk truncation approaches corotation radius system enters propeller regime torques exerted disk mes even balance spin due stellar contraction mes spin efficiency compared scenarios ghosh lamb x wind stellar wind models nevertheless scenarios efficient spin torque requires rather strong dipolar component seldom observed classical tauri stars better analysis torques acting protostar must take account non axisymmetric multipolar magnetic components consistent observations ,astro-ph.SR
34,34,possible origin x boson mass value around mbox mev motivated us investigate interaction leptons qed new hypothetical particle possibly candidate describe called fifth interaction new physics scenario beyond standard model model x boson interacting qed based u times u symmetry group u attached x boson kinetic mixing photon higgs sector revisited generate mass new boson thus mass mbox mev fixes vacuum expected value scale thereby estimate mass hidden higgs field vev scale higgs couplings model qft constructed renormalizable gauge analyzed perturbative structure radiative correction x boson propagator calculated one loop approximation yield yukawa potential correction form factors associated qed vertex correction calculated confirm electron anomalous magnetic moment together computation interaction magnitude muon case discussed furthermore introduced renormalization group scheme explore current x boson mass coupling constant leptons standard model ,hep-ph
35,35,present comprehensive analysis mssm higgs sector cp violation photon colliders including chargino contributions well contributions charged particles chargino loop contributions important cp odd higgs production photon colliders polarization asymmetries indispensable determining cp properties neutral higgs bosons ,hep-ph
36,36,monolayer tellurium te tellurene suggested recent theory new two dimensional system great electronic optoelectronic promises present experimental study epitaxial te deposited highly oriented pyrolytic graphite hopg substrate molecular beam epitaxy scanning tunneling microscopy ultrathin layers te reveals rectangular surface cells cell size consistent theoretically predicted beta tellurene whereas thicker films cell size consistent surface bulk te crystal scanning tunneling spectroscopy measurements show films semiconductors energy bandgaps decreasing increasing film thickness gap narrowing occurs predominantly valance band maximum vbm latter understood strong coupling states vbm weak coupling conduction band minimum cbm revealed density functional theory calculations ,cond-mat.mtrl-sci
37,37,investigate proper affine symmetry kantowski sachs bianchi type iii space times using holonomy decomposability rank x riemann matrix direct integration techniques shown special classes space times admit proper affine vector fields ,gr-qc
38,38,built operated atom interferometer mach zehnder type atomic wave supersonic beam lithium seeded argon mirrors beam splitters atomic wave based elastic bragg diffraction laser standing waves nm give detailed description experimental setup procedures used align components present experimental signals exhibiting atomic interference effects high visibility describe series experiments testing sensitivity fringe visibility main alignment defects magnetic field gradient ,quant-ph
39,39,proposed work aims proposing alternative kernel decomposition context kernel machines indefinite kernels original paper ksvm svm kre v n spaces uses eigen decomposition proposition avoids decompostion explain help designing algorithm require compute full kernel matrix finally illustrate good behavior proposed method compared ksvm ,cs.LG
40,40,discuss vector meson masses within context chiral perturbation theory performing expansion terms momenta quark masses nc extend previous analysis include isospin breaking effects also include order p discuss vector meson chiral perturbation theory detail present derivation relativistic lagrangian unknown coefficients estimated various ways also discuss relevance electromagnetic corrections implications present calculation determination quark masses ,hep-ph
41,41,cylindrically symmetric asymptotically flat einstein equations case electro vacuum known solutions exist globally also class spacetimes causally geodesically complete hence strong cosmic censorship holds class interesting question whether results generalized include spacetimes phenomenological matter e g collisionless matter described vlasov equation spherically symmetric asymptotically flat solutions einstein vlasov system small initial data known causally geodesically complete arbitrary size data shown singularity occurs first one occurs center symmetry paper begin study question global existence cylindrically symmetric einstein vlasov system general size data show singularity occurs first one occurs axis symmetry ,gr-qc
42,42,present first official release ncteq nuclear parton distribution functions npdfs errors main addition previous ncteq pdfs introduction pdf uncertainties based hessian method another important improvement inclusion pion production data rhic giving us handle constrain gluon pdf presentation briefly discuss framework analysis concentrate comparison results groups ,hep-ph
43,43,give new proof four color theorem exhibiting unavoidable set reducible configurations existence set conjectured several researchers including stromquist appel haken robertson sanders seymour thomas ,math.CO
44,44,paper first obtain energy density approach new agegraphic dark energy model f b gravity model studied alternative dark energy viscous fluid flat frw background b torsion scalar boundary term friedmann equations obtain framework modified teleparallel gravity tetrad components consider universe dominates components matter dark energy interacting model hubble parameter parameterized power law scale factor fit corresponding hubble parameter observational data constraints variation equation state eos dark energy plotted function redshift parameter accelerated expansion universe explored follows stability model also studied base sound speed parameter finally generalized second law thermodynamics investigated entropies inside boundary apparent horizon thermodynamics equilibrium ,gr-qc
45,45,several independent analyses recent wide field camera images hubble deep field selecting galaxies z lyman break technique presented matched catalogue objects common analyses posted preprint server listing different catalogue names associated sources ,astro-ph.CO
46,46,young brown dwarfs share many properties directly imaged giant extrasolar planets therefore provide unique laboratories investigating full range temperature mass encompasses growing collection planets discovered outside solar system furthermore tied particular group coeval stars also provide vital anchor points low mass empirical isochrones developed novel procedure identifying objects based unique mass allwise colors using search criteria identified new late type l dwarf candidates spectroscopically confirmed l dwarfs follow near infrared spectroscopy evaluate potential membership objects nearby young moving groups using proper motions photometric distance estimates spectroscopic indicators youth find seven likely l type members belonging beta pictoris moving group ab doradus moving group tucana horologium association argus association addition several lower probability members also found two late type l l potential members nearby hyades cluster wisea j wisea j ,astro-ph.SR
47,47,study effect quantum interference structure properties spontaneous stimulated transitions degenerate v type three level atom arbitrary total momentum state explicit expressions factors terms relaxation operator stimulated transition operator account quantum interference effects obtained demonstrated condition dipole transition moments parallel insufficient conventional atoms interference cross terms zeros operators conditions quantum interference influences properties relaxation operators analysed stimulated transitions condition shown anisotropy photon field interacting atoms case minutely studied line alkali metals ,quant-ph
48,48,maximum variance unfolding one main methods nonlinear dimensionality reduction study large sample limit providing specific rates convergence standard assumptions find consistent underlying submanifold isometric convex subset provide simple examples fails consistent ,stat.ML
49,49,paper determine partial answers question given title thereby significantly extending results broere hattingh characterize completely pairs complete graphs whose tensor products circulant establish orders circulant graphs greatest common divisor product circulant whenever graphs bipartite also establish possible one two graphs circulant product still circulant ,math.CO
50,50,efficient amplification light matter waves polaritons superposition cavity photons excitons recently reported optical gain curve versus pump power shows threshold saturates maximum value recently shown limit value gain greatly enhanced increasing exciton photon coupling rate allowing approach room temperature operation anomalous enhancement contrast results present theories describing process clarify mechanisms determining gain saturation explain observed giant amplification show enhancement origins non instantaneous nature exciton exciton collisions semiconductors due many body correlations find exciton photon coupling able alter exciton dynamics collisions hence modify coupling mechanism basis amplification results give precise indications favour room temperature operation realization optical microscopic switches amplifiers demonstrate exciton exciton collisions semiconductors controlled engineered ,cond-mat.mtrl-sci
51,51,note study global existence small data solutions cauchy problem semi linear wave equation effective scale invariant damping term namely p n ge prove blow finite time subcritical range p p n existence result p p n n way find critical exponent small data solutions problem considerations lead conjecture p n p n n ge p n strauss exponent classical wave equation ,math.AP
52,52,classical coinvariant ring r n defined quotient polynomial ring n variables positive degree n invariants known basis respects decomposition r n irreducible n modules consisting higher specht polynomials due ariki terasoma yamada provide extension higher specht basis generalized coinvariant rings r n k also give conjectured higher specht basis garsia procesi modules r mu provide proof conjecture case two row partition shapes mu combine results give higher specht basis infinite subfamily modules r n k mu recently defined griffin common generalization r n k r mu ,math.CO
53,53,report gated single photon detector based ingaas inp avalanche photodiodes apds single photon detection efficiency exceeding nm detector gated ghz employs self differencing technique gate transient suppression operate nearly dead time free except one clock cycle dead time intrinsic self differencing demonstrate count rate mcps present careful analysis optimal driving conditions apd measured dead time free detector characterization setup found shortened gate width ps together increased driving signal amplitude operation higher temperatures leads improved performance detector achieve afterpulse probability detection efficiency dead time free measurement record efficiency ingaas inp apds afterpulse probability moderate dead time ns ,quant-ph
54,54,paper study jeans analysis context energy momentum squared gravity emsg specifically find new jeans mass non rotating infinite mediums smallest mass scale local perturbations stable gravity furthermore rotating mediums specifically rotating thin disks context emsg find new toomre like criterion local gravitational stability finally results applied hyper massive neutron star astrophysical system using simplified toy model shown positive negative value emsg parameter alpha system stable unstable wide range alpha hand observational evidence reported existence local fragmentation hmns naturally means emsg positive alpha acceptable physical point view ,gr-qc
55,55,present general quantum mechanical expressions higher order moments cumulants spectra continuously measured quantum systems applications spin noise spectroscopy quantum transport measurement theory general starting called stochastic master equation continuous measurement theory find leading orders fluctuating detector output z respect measurement strength beta white shot noise background constant measurement offset leading order quantum noise measured operator starting quantum expressions multi time moments langle z n cdots z rangle derive three four time cumulants valid orders beta covering full regime weak strong measurement limit zeno limit intriguingly quantum expressions cumulants found exhibit simple structure moments introduction slightly modified system propagator compact expressions cumulant based third fourth order spectra bispectrum trispectrum follow naturally illustrate usefulness higher order spectra treating real world two spin system strong hyperfine interaction moreover spin noise spectroscopy shown potential investigating transition weak measurements famous quantum zeno regime realistic probe laser intensities ,quant-ph
56,56,investigate physics charged scalar particle moving conformally flat spacetime conformal factor depending time framework quantum electrodynamics qed particular show radiation reaction force derived qed agrees classical counterpart limit hbar using fact lowest order hbar charged scalar field theory mass conformally flat spacetime conformal factor omega call model b equivalent flat spacetime time dependent mass omega call model tree level limit also consider one loop qed corrections two models semi classical approximation find nonzero one loop corrections mass maxwell equations model order hbar mean however corresponding one loop corrections model b nonzero equivalence models conformal transformation breaks one loop find one loop corrections vanish limit hbar model b ,gr-qc
57,57,considering simultaneous measurement non commuting observables define geometric measure degree non commuting behavior quantum measurements coming initial final states measurements rationality geometric measure demonstrated application presented connection measure heisenberg uncertainty principle discussed well work deepens understanding quantum non commuting measurement ,quant-ph
58,58,lp identified phan bao et al one wide pairs low mass vlm stars known date separation au present adaptive optics imaging resolves secondary wide pair tighter binary projected angular separation arcsec au estimated spectral types lp b lp c discuss implications finding brown dwarf formation scenarios ,astro-ph
59,59,previously unobservable mirror asymmetry solar magnetic field key ingredient dynamo mechanism believed drive year activity cycle measured achieved systematic monitoring solar active regions carried years observatories mees huairou mitaka paper report detailed analysis vector magnetic field data obtained huairou solar observing station china electric current helicity product current magnetic field component direction estimated data latitude time plot solar helicity last two solar cycles produced find like sunspots helicity patterns propagate equatorwards unlike sunspot polarity helicity solar hemisphere change sign cycle cycle confirming theory however two significant time latitudinal domains cycle sign briefly invert findings shed new light stellar planetary dynamos yet included theory ,astro-ph.SR
60,60,present first visible wavelength images gg tauri circumbinary ring obtained hubble space telescope wide field planetary camera scattered light ring detected v band images images show ring smooth except small gap shadow caused material stars ring spokes seen extending stars ring ground based adaptive optics images seen data suggests may image artifacts nearside farside surface brightness ratio band consistent forward scattering small dust grains azimuth peak ring surface brightness appears offset degrees azimuth closest us seen previous near ir hst observations may indicate ring warped somehow shadowed circumstellar disks color ring redder combined light stars observed hst confirming previous measurements indicate circumstellar disks may introduce extinction light illuminating ring detect bright compact arc material arcseconds secondary star azimuth opposite primary appears large circumstellar disk expected location dust trapped lagrange point ,astro-ph
61,61,study helicity amplitudes process gamma gamma gamma gamma high energy standard susy models first arise one loop order standard model sm diagrams involve w charged quark lepton loops susy also contributions chargino charged sfermion higgs loop diagrams susy contributions important region threshold producing supersymmetric partners since interfere effectively primarily imaginary sm amplitudes simple expressions relevant loop functions given provide direct overview behaviour helicity amplitudes whole parameter space high energies various characteristics large set observables studied detail ,hep-ph
62,62,derive new inf sup sup inf formulae called effective multiplication factor arising study reactor analysis treat formalism transport equation energy dependent diffusion equation ,math.AP
63,63,purpose contribution review current status black hole demographics light recent advances study high redshift qsos section local agns section local quiescent galaxies section outline prospects future progress section discuss believe challenges years come ,astro-ph
64,64,present full three dimensionality electrostatically calculated stability diagram triple quantum dots stability diagram maps favored charge configuration system function potential shifts due gate voltages triple dots three dimensional visualization allows complete identification components notably called quadruple points four electronic configurations degenerate quantum cellular automata qca processes exact positions features within stability diagram revealed furthermore influence transport studied comparing model two path triple quantum dot made local anodic oxidation two path setup allows study influence dots arrangement ,cond-mat.mes-hall
65,65,obtained deep hubble space telescope hst imaging four faint ultra faint dwarf galaxy candidates vicinity dw dw dw dw originally discovered bennet et al previous distance estimates using surface brightness fluctuation technique suggested four dwarf candidates remaining viable satellites identified ground based imaging virial radius kpc advanced camera surveys imaging four dwarf candidates shows associated resolved stellar populations indicating thus background galaxies confirm generating simulated hst color magnitude diagrams similar brightness dwarfs distance targets displayed clear resolved red giant branches dozens stars associated information construct satellite luminosity function complete v mag complete v mag extends ultra faint dwarf galaxy regime system remarkably poor satellites comparison milky way eight satellites absolute magnitude v mag compared seen milky way respectively observations milky way analogs needed understand halo halo scatter faint satellite systems connect expectations cosmological simulations ,astro-ph.GA
